bill_id,bill_name
020138,전시근로동원법안
020140,정부조직법중개정법률안
020141,부흥원설치법안
020142,한국조폐공사법안
020143,해안경비법중개정법률안
020144,군법회의의재판권에관한법률안
020145,국방경비법중개정법률안
020146,광세법안
020147,톤세법안
020148,지세법중개정법률안
020149,구국의용대조직법안
020150,향교재산관리법안
020151,조선산금령·군정법령제92조·과도정부령제150호폐지에관한법률안
020152,재정법안
020155,임시토지수득세법안
020156,세관관서설치법중개정법률안
020157,약사법안
020158,특허법중개정법률안
020159,정부조직법중개정법률안(대안)
020160,기부금지법안
020161,상공회의소법안
020162,하절시각법안
020163,특별감찰원법안
020164,국군조직법중개정법률안
020165,전매청과지방전매관서설치법안
020168,통상우편물의종류및요금에관한법률중개정법률안
020169,방공법중개정법률안
020170,관세법중개정법률안
020171,가축보호법안
020172,귀속재산처리법중개정법률안
020173,한국산업은행법안
020174,한국국민은행법안
020175,근로동원법안(대안)
020176,광업법안(대안)
020177,어업에관한임시조치법중개정법률안
020178,교육공무원법안
020179,광주고등법원설치법안
020180,징발에관한특별조치령중개정법률안
020182,교육법중개정법률안
020183,학도징집특별조치법안
020184,노동조합법안
020185,문교재단소유농지특별보상법중개정법률안
020186,간이소청절차에의한귀속해제결정의확인에관한법률의특별조치법안
020187,법원조직법중개정법률안
020188,금에관한임시조치법안(대안)
020189,신문지법폐지에관한법률안
020190,형법중개정법률안
020191,양곡관리특별회계법중개정법률안
020192,양곡관리법중개정법률안
020193,국회의원보수에관한법률중개정법률안
020194,헌법개정안
020195,군법무관임용법안
020196,미화표시한국은행통화안정증권발행법안
020197,농지개혁법중개정법률안
020198,항만운송업법안
020199,세입보전국채발행에관한건
020200,염전매법안
020201,인삼전매법안
020202,연초전매법안
020203,전매범처분절차법안
020204,부역행위특별처리법폐지에관한법률안
020205,광업법중개정법률안
020206,근로기준법안
020207,근로기준법안
020208,국립극장설치법중개정법률안
020209,양곡관리법중개정법률안
020210,밀수입방지임시조치법안
020211,지방자치법중개정법률안
020212,방송사업특별회계법폐지에관한법률안
020213,외자특별회계법중개정법률안
020214,비상사태하에범죄처벌에관한특별조치령안
020215,비상사태하의범죄처벌에관한특별조치령폐지와동법에기인한형사사건임시조치법안
020216,상속세법중개정법률안
020217,영업세법중개정법률안
020218,임시조세조치법중개정법률안
020219,조세임시증징법중개정법률안
020220,조세특례법중개정법률안
020221,법인세법중개정법률안
020222,물품세법중개정법률안
020223,임시토지수득세법중개정법률안
020224,등록세법중개정법률안
020225,광주고등법원판사정원에관한법률안
020226,광세법안
020227,광주고등검찰청검사정원에관한법률안
020228,국세징수법중개정법률안
020229,농지개혁사업특별회계법안
020230,광업법중개정법률안
020231,물품세법중개정법률안
020232,국회법중개정법률안
020233,정치운동규제법안
020234,정부조직법중개정법률안
020235,해외재산반입법안
020236,조세특례법중개정법률안
020237,관세법중개정법률안
020238,전사군경유족과상이군경연금법안
020240,지방분여세법안
020241,국회법중개정법률안
020242,헌법개정안
020245,관세국세징수및처벌보칙법안
020246,지방세법중개정법률안
020247,헌법개정안
020248,특정광산처리에관한임시조치법안
020249,특정광산처리에관한임시조치법안
020250,문화보호법안
020252,거제군설치에관한법률안
020253,국민생명보험법안
020254,우편연금법안
020255,전염병예방법안
020257,국고금단수계산법중개정법률안
020258,축우도살금지임시조치법안
020259,대통령·부통령선거법안
020260,구황실재산법안
020261,저작권법안
020262,근로기준법안
020263,산업부흥채권발행법안
020264,수산물검사법중개정법률안
020265,항공법안
020266,농지개혁법중개정법률안
020267,통상우편물의종류및요금에관한법률중개정법률안
020268,산업부흥국채법안(대안)
020269,산업부흥국채금특별회계법안
020270,농지개혁법중개정법률안
020271,벌금등임시조치법중개정법률안
020272,국회법중개정법률안
020273,농지개혁법중개정법률안
020275,학교학년특별회계법안
020276,어업자원보호법안
020277,6·25사변으로인하여행방불명이된국회의원에관한특별조치법안
020278,중앙도매시장법중개정법률안
020279,선거법안
020280,귀속재산처리법제19조제3항에의한납부금액변경에관한법률안
020281,외자특별회계법중개정법률안
020282,법인임원등처벌에관한법률안
020283,경제조정특별회계법안
020284,국민의출입국에관한법률안
020285,노동쟁의법안
020286,국정감사법안(대안)
020287,국회에서의증언·감정등에관한법률안
020288,임시토지수득세법중개정법률안
020289,면허세법중개정법률안(대안)
020290,간이소청절차에의한귀속해제결정의확인에관한법률의특별조치법중개정법률안
020291,면허세법중개정법률안
020292,경찰관직무집행법안
020293,농지개혁법중개정법률안
020294,법인세법중개정법률안
020295,국회의원보수에관한법률중개정법률안(대안)
020296,경죄처벌법안
020297,국회법중개정법률안(대안)
020298,시·군의설치와군의관할구역변경에관한법률안
020299,가축보호법안(대안)
020301,국회법중개정법률안
020302,사법서사법안
020303,형사소송비용법안
020304,형사소송법안
020305,민사소송법안
020306,민사소송인지법안
020307,민사소송비용법안
020308,6·25사변으로인하여행방불명이된국회의원에관한특별조치법안
020309,충무시설치에관한법률안
020310,우편법안
020312,전란수습비특별회계법안
020313,구황실재산관리특별회계법안
020314,긴급금융조치법안
020315,서남지구전투경찰대설치법안
020316,이자제한법안
020317,교육공무원법안(대안)
020318,수산업법안(대안)
020319,군사원호법중개정법률안
020320,해공항검역법안
020321,운수사고특별처벌법안
020322,전몰군경유족과상이군경연금법중개정법률안
020323,주세법중개정법률안
020324,경제조정특별회계법중개정법률안
020325,전몰군경유족과상이군경연금법중개정법률안(대안)
020326,관세법중개정법률안
020327,국회의원선거법중개정법률안
020328,한국조폐공사법중개정법률안
020329,대한해운공사법중개정법률안
020330,대한조선공사법중개정법률안
020331,참의원의원선거법안
020332,법인세법중개정법률안
020333,대한석탄공사법중개정법률안
020334,대한제약공사법안
020335,관세법중개정법률안
020336,직업기능등록법안
020337,외국유학에관한법률안
020338,외국유학에관한법률안
020339,지방자치법중개정법률안
020341,교육용어에관한법률안
020342,경찰원호법중개정법률안
020343,귀속재산처리법중개정법률안
